Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 2 + 3?,5,6,4,7,A,The result of 2 + 3 is 5.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 3 + 4?,6,7,5,8,A,The result of 3 + 4 is 6.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 4 + 5?,7,8,6,9,A,The result of 4 + 5 is 7.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 5 + 6?,8,9,7,10,A,The result of 5 + 6 is 8.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 6 + 7?,9,10,8,11,A,The result of 6 + 7 is 9.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 7 + 8?,10,11,9,12,A,The result of 7 + 8 is 10.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 8 + 9?,11,12,10,13,A,The result of 8 + 9 is 11.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 9 + 10?,12,13,11,14,A,The result of 9 + 10 is 12.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 10 + 11?,13,14,12,15,A,The result of 10 + 11 is 13.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 11 + 12?,14,15,13,16,A,The result of 11 + 12 is 14.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 12 + 13?,15,16,14,17,A,The result of 12 + 13 is 15.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 13 + 14?,16,17,15,18,A,The result of 13 + 14 is 16.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 14 + 15?,17,18,16,19,A,The result of 14 + 15 is 17.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 15 + 16?,18,19,17,20,A,The result of 15 + 16 is 18.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 16 + 17?,19,20,18,21,A,The result of 16 + 17 is 19.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 17 + 18?,20,21,19,22,A,The result of 17 + 18 is 20.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 18 + 19?,21,22,20,23,A,The result of 18 + 19 is 21.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 19 + 20?,22,23,21,24,A,The result of 19 + 20 is 22.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 20 + 21?,23,24,22,25,A,The result of 20 + 21 is 23.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 21 + 22?,24,25,23,26,A,The result of 21 + 22 is 24.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 22 + 23?,25,26,24,27,A,The result of 22 + 23 is 25.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 23 + 24?,26,27,25,28,A,The result of 23 + 24 is 26.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 24 + 25?,27,28,26,29,A,The result of 24 + 25 is 27.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 25 + 26?,28,29,27,30,A,The result of 25 + 26 is 28.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 26 + 27?,29,30,28,31,A,The result of 26 + 27 is 29.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 27 + 28?,30,31,29,32,A,The result of 27 + 28 is 30.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 28 + 29?,31,32,30,33,A,The result of 28 + 29 is 31.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 29 + 30?,32,33,31,34,A,The result of 29 + 30 is 32.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 30 + 31?,33,34,32,35,A,The result of 30 + 31 is 33.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 31 + 32?,34,35,33,36,A,The result of 31 + 32 is 34.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 32 + 33?,35,36,34,37,A,The result of 32 + 33 is 35.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 33 + 34?,36,37,35,38,A,The result of 33 + 34 is 36.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 34 + 35?,37,38,36,39,A,The result of 34 + 35 is 37.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 35 + 36?,38,39,37,40,A,The result of 35 + 36 is 38.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 36 + 37?,39,40,38,41,A,The result of 36 + 37 is 39.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 37 + 38?,40,41,39,42,A,The result of 37 + 38 is 40.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 38 + 39?,41,42,40,43,A,The result of 38 + 39 is 41.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 39 + 40?,42,43,41,44,A,The result of 39 + 40 is 42.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 40 + 41?,43,44,42,45,A,The result of 40 + 41 is 43.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 41 + 42?,44,45,43,46,A,The result of 41 + 42 is 44.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 42 + 43?,45,46,44,47,A,The result of 42 + 43 is 45.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 43 + 44?,46,47,45,48,A,The result of 43 + 44 is 46.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 44 + 45?,47,48,46,49,A,The result of 44 + 45 is 47.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 45 + 46?,48,49,47,50,A,The result of 45 + 46 is 48.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 46 + 47?,49,50,48,51,A,The result of 46 + 47 is 49.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 47 + 48?,50,51,49,52,A,The result of 47 + 48 is 50.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 48 + 49?,51,52,50,53,A,The result of 48 + 49 is 51.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 49 + 50?,52,53,51,54,A,The result of 49 + 50 is 52.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 50 + 51?,53,54,52,55,A,The result of 50 + 51 is 53.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 51 + 52?,54,55,53,56,A,The result of 51 + 52 is 54.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 52 + 53?,55,56,54,57,A,The result of 52 + 53 is 55.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 53 + 54?,56,57,55,58,A,The result of 53 + 54 is 56.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 54 + 55?,57,58,56,59,A,The result of 54 + 55 is 57.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 55 + 56?,58,59,57,60,A,The result of 55 + 56 is 58.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 56 + 57?,59,60,58,61,A,The result of 56 + 57 is 59.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 57 + 58?,60,61,59,62,A,The result of 57 + 58 is 60.
