ID,Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
1,General Science (GS),What planet is known as the Red Planet?,Jupiter,Mars,Earth,Venus,B,Mars is often called the Red Planet due to its reddish appearance.
2,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,25 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
3,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Clear,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
4,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The author disagrees,The event happened,None of the above,C,Inference: it happened.
5,Mathematics Knowledge (MK),What is 15% of 200?,35,20,25,30,D,15% of 200 = 0.15 × 200 = 30.
6,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
7,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,45 mph,40 mph,50 mph,B,60 ÷ 1.5 = 40 mph.
8,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
9,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The author disagrees,The event happened,D,Inference: it happened.
10,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,3,4,D,"2x = 6, x = 3."
11,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Oxygen,Hydrogen,B,Plants absorb carbon dioxide during photosynthesis.
12,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
13,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Sad,Joyful,Angry,C,'Elated' means extremely happy or joyful.
14,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Inform,Persuade,C,The text provides facts and information.
15,Mathematics Knowledge (MK),What is the square root of 81?,7,9,8,10,B,9 × 9 = 81.
16,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,B,Plants absorb carbon dioxide during photosynthesis.
17,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
18,Word Knowledge (WK),'Conceal' means to:,Hide,Show,Reveal,Display,A,To conceal is to hide something.
19,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,None of the above,It’s raining,A,Inference: it happened.
20,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,4,3,5,B,"2x = 6, x = 3."
21,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
22,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,30 mpg,35 mpg,25 mpg,B,375 ÷ 15 = 25 mpg.
23,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Tired,Sad,Joyful,D,'Elated' means extremely happy or joyful.
24,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,None of the above,It’s raining,A,Inference: it happened.
25,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,3,4,D,"2x = 6, x = 3."
26,General Science (GS),What is the basic unit of life?,Tissue,Cell,Atom,Organ,B,The cell is the basic structural and functional unit of all organisms.
27,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,30 mpg,35 mpg,20 mpg,B,375 ÷ 15 = 25 mpg.
28,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
29,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The author disagrees,The event happened,D,Inference: it happened.
30,Mathematics Knowledge (MK),What is 15% of 200?,35,20,25,30,D,15% of 200 = 0.15 × 200 = 30.
31,General Science (GS),What planet is known as the Red Planet?,Jupiter,Mars,Earth,Venus,B,Mars is often called the Red Planet due to its reddish appearance.
32,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,20 mpg,35 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
33,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Clear,Colorful,Dull,D,"'Vivid' means bright or intense, opposite is dull."
34,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Entertain,Confuse,Inform,D,The text provides facts and information.
35,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
36,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
37,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,45 mph,60 mph,50 mph,B,60 ÷ 1.5 = 40 mph.
38,Word Knowledge (WK),'Conceal' means to:,Reveal,Hide,Display,Show,B,To conceal is to hide something.
39,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,C is wrong,A is false,B is true,A,The passage directly supports D.
40,Mathematics Knowledge (MK),What is 15% of 200?,20,35,30,25,C,15% of 200 = 0.15 × 200 = 30.
41,General Science (GS),What planet is known as the Red Planet?,Mars,Jupiter,Earth,Venus,A,Mars is often called the Red Planet due to its reddish appearance.
42,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,20 mpg,25 mpg,35 mpg,A,375 ÷ 15 = 25 mpg.
43,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Joyful,Sad,Tired,B,'Elated' means extremely happy or joyful.
44,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,B is true,A is false,D is accurate,D,The passage directly supports D.
45,Mathematics Knowledge (MK),What is 15% of 200?,25,35,30,20,C,15% of 200 = 0.15 × 200 = 30.
46,General Science (GS),What is the basic unit of life?,Organ,Tissue,Atom,Cell,D,The cell is the basic structural and functional unit of all organisms.
