Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 1?,Option A,Option B,Option C,Option D,A,This is the explanation for question 1.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 2?,Option A,Option B,Option C,Option D,A,This is the explanation for question 2.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 3?,Option A,Option B,Option C,Option D,A,This is the explanation for question 3.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 4?,Option A,Option B,Option C,Option D,A,This is the explanation for question 4.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 5?,Option A,Option B,Option C,Option D,A,This is the explanation for question 5.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 6?,Option A,Option B,Option C,Option D,A,This is the explanation for question 6.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 7?,Option A,Option B,Option C,Option D,A,This is the explanation for question 7.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 8?,Option A,Option B,Option C,Option D,A,This is the explanation for question 8.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 9?,Option A,Option B,Option C,Option D,A,This is the explanation for question 9.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 10?,Option A,Option B,Option C,Option D,A,This is the explanation for question 10.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 11?,Option A,Option B,Option C,Option D,A,This is the explanation for question 11.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 12?,Option A,Option B,Option C,Option D,A,This is the explanation for question 12.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 13?,Option A,Option B,Option C,Option D,A,This is the explanation for question 13.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 14?,Option A,Option B,Option C,Option D,A,This is the explanation for question 14.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 15?,Option A,Option B,Option C,Option D,A,This is the explanation for question 15.
